date,acceleration,x,y,z
07/22/2016 01:11:47.804120,-0.010117,0.0,0.0,0.0 
07/22/2016 01:11:47.805673,-0.010391,0.0,0.0,0.0 
07/22/2016 01:11:47.806149,-0.008957,0.0,0.0,0.0 
07/22/2016 01:11:47.811771,-0.009003,-0.061523,-0.1875,1.031494 
07/22/2016 01:11:47.812255,-0.009491,0.0,0.0,0.0 
07/22/2016 01:11:47.812698,-0.009506,0.0,0.0,0.0 
07/22/2016 01:11:47.814012,-0.009934,0.0,0.0,0.0 
07/22/2016 01:11:47.814493,-0.010117,0.0,0.0,0.0 
07/22/2016 01:11:47.815165,-0.010285,-0.064453,-0.185547,1.030518 
07/22/2016 01:11:47.816677,-0.011276,0.0,0.0,0.0 
07/22/2016 01:11:47.817155,-0.011398,0.0,0.0,0.0 
07/22/2016 01:11:47.817597,-0.011704,0.0,0.0,0.0 
07/22/2016 01:11:47.822883,-0.01062,0.0,0.0,0.0 
07/22/2016 01:11:47.823629,-0.010742,-0.062012,-0.187012,1.031494 
07/22/2016 01:11:47.824075,-0.011002,0.0,0.0,0.0 
07/22/2016 01:11:47.825652,-0.010315,0.0,0.0,0.0 
07/22/2016 01:11:47.826133,-0.010788,0.0,0.0,0.0 
07/22/2016 01:11:47.826577,-0.009934,0.0,0.0,0.0 
07/22/2016 01:11:47.828257,-0.009628,-0.061035,-0.187988,1.032715 
07/22/2016 01:11:47.828738,-0.010086,0.0,0.0,0.0 
07/22/2016 01:11:47.829177,-0.009598,0.0,0.0,0.0 
07/22/2016 01:11:47.850904,-0.009674,0.0,0.0,0.0 
07/22/2016 01:11:47.851381,-0.011337,0.0,0.0,0.0 
07/22/2016 01:11:47.856857,-0.011658,-0.059814,-0.186523,1.028564 
07/22/2016 01:11:47.859136,-0.01149,0.0,0.0,0.0 
07/22/2016 01:11:47.859611,-0.011154,0.0,0.0,0.0 
07/22/2016 01:11:47.861754,-0.01091,0.0,0.0,0.0 
07/22/2016 01:11:47.912434,-0.011032,0.0,0.0,0.0 
07/22/2016 01:11:47.924168,-0.010941,-0.060791,-0.187256,1.030518 
07/22/2016 01:11:47.924644,-0.011215,0.0,0.0,0.0 
07/22/2016 01:11:47.926783,-0.010346,0.0,0.0,0.0 
07/22/2016 01:11:47.929071,-0.010803,0.0,0.0,0.0 
07/22/2016 01:11:47.929549,-0.009812,0.0,0.0,0.0 
07/22/2016 01:11:47.930226,-0.009995,-0.060303,-0.188232,1.030762 
07/22/2016 01:11:47.974173,-0.01001,0.0,0.0,0.0 
07/22/2016 01:11:47.974649,-0.009949,0.0,0.0,0.0 
07/22/2016 01:11:47.975091,-0.010742,0.0,0.0,0.0 
07/22/2016 01:11:47.981640,-0.012726,0.0,0.0,0.0 
07/22/2016 01:11:47.984726,-0.010864,-0.061279,-0.187256,1.031982 
07/22/2016 01:11:47.985341,-0.010986,0.0,0.0,0.0 
07/22/2016 01:11:47.991891,-0.011292,0.0,0.0,0.0 
07/22/2016 01:11:47.992366,-0.011109,0.0,0.0,0.0 
07/22/2016 01:11:47.992804,-0.010132,0.0,0.0,0.0 
07/22/2016 01:11:48.003363,-0.010407,-0.060547,-0.188232,1.033203 
07/22/2016 01:11:48.003844,-0.011002,0.0,0.0,0.0 
07/22/2016 01:11:48.004283,-0.010605,0.0,0.0,0.0 
07/22/2016 01:11:48.005686,-0.010101,0.0,0.0,0.0 
07/22/2016 01:11:48.006160,-0.009842,0.0,0.0,0.0 
07/22/2016 01:11:48.007813,-0.009216,-0.05957,-0.189209,1.031982 
07/22/2016 01:11:48.008290,-0.009323,0.0,0.0,0.0 
07/22/2016 01:11:48.008730,-0.009735,0.0,0.0,0.0 
07/22/2016 01:11:48.025326,-0.010513,0.0,0.0,0.0 
07/22/2016 01:11:48.025804,-0.01062,0.0,0.0,0.0 
07/22/2016 01:11:48.026480,-0.011261,-0.059814,-0.186523,1.029785 
07/22/2016 01:11:48.027908,-0.011154,0.0,0.0,0.0 
07/22/2016 01:11:48.028385,-0.010239,0.0,0.0,0.0 
07/22/2016 01:11:48.028823,-0.010208,0.0,0.0,0.0 
07/22/2016 01:11:48.030453,-0.009766,0.0,0.0,0.0 
